,country,continent,population,day,time,active_cases,critical_cases,total_cases,recovered_cases,1M_pop_cases,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests
0,Afghanistan,Asia,40754388.0,2025-07-28,2025-07-28 16:15:05+00:00,15098,,234174,211080,5746,196,7996,34125,1390730
1,Albania,Europe,2866374.0,2025-07-28,2025-07-28 16:15:05+00:00,1025,,334863,330233,116825,1258,3605,677173,1941032
2,Algeria,Africa,45350148.0,2025-07-28,2025-07-28 16:15:05+00:00,82068,,272010,183061,5998,152,6881,5093,230960
3,Andorra,Europe,77463.0,2025-07-28,2025-07-28 16:15:06+00:00,,,48015,,619844,2130,165,3225256,249838
4,Angola,Africa,35027343.0,2025-07-28,2025-07-28 16:15:06+00:00,1971,,107327,103419,3064,55,1937,42818,1499795
5,Anguilla,North-America,15230.0,2025-07-28,2025-07-28 16:15:08+00:00,,,3904,,256336,788,12,3373736,51382
6,Antigua-and-Barbuda,North-America,99509.0,2025-07-28,2025-07-28 16:15:08+00:00,6,,9106,8954,91509,1467,146,189943,18901
7,Argentina,South-America,46010234.0,2025-07-28,2025-07-28 16:15:03+00:00,746,,10128845,9997258,220143,2844,130841,776264,35716069
8,Armenia,Asia,2971966.0,2025-07-28,2025-07-28 16:15:05+00:00,7892,,451831,435162,152031,2953,8777,1091164,3242901
9,Aruba,North-America,107609.0,2025-07-28,2025-07-28 16:15:07+00:00,1494,2,44224,42438,410969,2714,292,1653068,177885
10,Australia,Oceania,26068792.0,2025-07-28,2025-07-28 16:15:03+00:00,8716,3,11853144,11820014,454687,937,24414,3142326,81916639
11,Austria,Europe,9066710.0,2025-07-28,2025-07-28 16:15:03+00:00,3811,,6081287,6054934,670727,2486,22542,23302116,211273524
12,Azerbaijan,Asia,10300205.0,2025-07-28,2025-07-28 16:15:04+00:00,745,,835234,824089,81089,1010,10400,752223,7748050
13,Bahamas,North-America,400516.0,2025-07-28,2025-07-28 16:15:07+00:00,874,1,38084,36366,95087,2107,844,643767,257839
14,Bahrain,Asia,1783983.0,2025-07-28,2025-07-28 16:15:04+00:00,60,,729549,727915,408944,882,1574,6137138,10948549
15,Bangladesh,Asia,167885689.0,2025-07-28,2025-07-28 16:15:04+00:00,,,2049377,,12207,176,29493,90862,15254399
16,Barbados,North-America,288023.0,2025-07-28,2025-07-28 16:15:06+00:00,1283,,110578,108647,383921,2250,648,2826715,814159
17,Belarus,Europe,9432800.0,2025-07-28,2025-07-28 16:15:04+00:00,1327,,994037,985592,105381,755,7118,1446722,13646641
18,Belgium,Europe,11668278.0,2025-07-28,2025-07-28 16:15:03+00:00,521,,4861695,4826798,416659,2946,34376,3209915,37454182
19,Belize,North-America,412190.0,2025-07-28,2025-07-28 16:15:06+00:00,,,71409,,173243,1669,688,1397453,576016
20,Benin,Africa,12784726.0,2025-07-28,2025-07-28 16:15:07+00:00,26,,28036,27847,2193,13,163,47268,604310
21,Bermuda,North-America,61939.0,2025-07-28,2025-07-28 16:15:07+00:00,10,,18860,18685,304493,2664,165,16622128,1029558
22,Bhutan,Asia,787941.0,2025-07-28,2025-07-28 16:15:06+00:00,1112,,62697,61564,79571,27,21,2923739,2303734
